تاج راسكم,N,,,,,,,,,,,,,,,,,N
ايه هاي كلها مساويه القيصر مين بدو يشكر ليشكر,N,,,,,,,,,,,,,,,,,N
تروحون فدوه لحروف اسمه,N,,,,,,,,,,,,,,,,,N
كاظم الساهر فنان كبير اكيد مقهورين ﻷن اصبح فنان عالمي,N,,,,,,,,,,,,,,,,,N
كاظم موسيقار ملحن وشاعر ومغني وهو فنان شامل متعدد المواهب ولديه ملكه لا يمتلكها ولا واحد من اللي علقو عليه انه يستطيع أن يقف على رجليه في كل الظروف الصعبة، اما الباقي فهم بحاجه لمن يكتب كلمات وآخر يلحنها وآخر يوزعها وبتطلع بالاستوديو شكل وعلى المسارح اشي تاني,N,,,,,,,,,,,,,,,,,N
كاظم موهبته الي سوته وبس وكافي استحو على نفسكم يسوه راسكم كاظم يا فاشلين,P,,,,,,,,,,,,,,,,,P
"((القافلة تسير والكلاب تعوي ))
((سألو حكيم لماذا لا ترد على من يسيء إليك .. قال ليس من الحكمة أن اعظ كلبا عظني )) ((كلام الناس كالحجاره أما أن تضعه تحت قدمك فيرفعك أو تحمله على ظهرك فيكسرك ))وكاظم يطبق نظريه ((كن كالنخيل في الآفاق مرتفعا ترمى بصخرا تعطي اطيب الثمرا))",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ترحون فدوه لأسمه من تكونون انتم حتى تحجون عليه والي ضحكني يكول اغنينة البرتقاله حلوه لعد شكد ذوق ماعدكم,N,,,,,,,,,,,,,,,,,N
هذا الكائن الي ببداية ونهاية الفيديو....مو هذا الي كان يطلع ع الخليجيه وغنوه ويه الراقصات .....؟؟؟ يقارن نفسه بكاظم؟؟؟؟؟!!! لله في خلقه شؤون,N,,,,,,,,,,,,,,,,,N
الي حدث بالكويت مايجي الى ربع الي دايصير بالعراق..واني وحدةمن العراقيين اعذر القيصرلان مايجي للعراق واحب اكلة.لاتجي ولاتنقهرمن كلام المضغوطين نحبك ياقيصر وتبقى تاج راسنة مهما تكلموو..ماعليك منهم لان احنةنعرفك شنوو .يااصيل يارائع,N,,,,,,,,,,,,,,,,,N
هههههه من هذا الي بلفيديو رقم 2 .,N,,,,,,,,,,,,,,,,,N
حيوانين بتفهموش,P,,,,,,,,,,,,,,,,,P
واحد يكول نجح بالكويت وواحد يكول بمصر  وبلبنان هذا دليل انو همه مضغوطين من القيصر   بابا لو يروح للقمر  هم  ينجح,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
بس نبيل شعيل وجهة نظر حقيقية 🌚🖖🏿,N,,,,,,,,,,,,,,,,,N
عمي انتو وين تحجون هذا القيصر يعني ابو وسام بس الغيرة,N,,,,,,,,,,,,,,,,,N
بس تره كاظم متواااااااضع,N,,,,,,,,,,,,,,,,,N
ههههههه مضغوطين لان ماكدرو يوصلون لنجوميته واندثر فنهم وهوه ضل شاسع حقهم هههه,N,,,,,,,,,,,,,,,,,N
والله ما تجون تراب الي يمشي عليه كاضم,P,,,,,,,,,,,,,,,,,P
ههههههه بس صدگ شهرته الفضائيات اكو بوقته فنانين سعدون جابر رائع,N,,,,,,,,,,,,,,,,,N
احنة العراقي شنو ايكلك,N,,,,,,,,,,,,,,,,,N
مظغوطين من القصر,N,,,,,,,,,,,,,,,,,N
اهل الكويت الزمو ارضكم ولاتفتحو دفاتركم القديمة بمعاملتكم للعراقيين خلووو طبق مستور بس عمر الجمل مايشوف حدبته,N,,,,,,,,,,,,,,,,,N
القيصر مافي داعي يرد على هل كائنات الغريبة نحنا بنرد عنو OK,N,,,,,,,,,,,,,,,,,N
شنو هالحقد ع ابو وسام عالاقل ماعنده نفاق واثبت نفسه بنفسه من غير ماينزل راسه لااحدا اتركو الاكاذيب ولاتتكلمو بسوء عنه,N,,,,,,,,,,,,,,,,,N
جورج وسوف شني قصته يبين مو طبيعي,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ما شو أني تنرفزت عَلى فكر. هو مَش بكيت عصير أنا صنعتو ولا انتا صنعته الا حبيبي ماشي يا حشراه يا فيل الخليج,P,,,,,,,,,,,,,,,,,P
"نبيل شعيل قصف جبهة كاظم😂😂😂
مع العلم اني عراقي",N,,,,,,,,,,,,,,,,,N
حب القيصر حب ياخبلان,N,,,,,,,,,,,,,,,,,N
"حبيبي كاظم 
و بلنسة للمظغوطين لو تموتون متوصلون ل مستواه خاصتن هاذ السمين هههههه",N,,,,,,,,,,,,,,,,,N
كلهة طلت مطلعه كاظم النجوميه كاظم طلع ما عنده صوت ولا نجم,N,,,,,,,,,,,,,,,,,N
ههههههههه ارائهم مثل شكلهمممم 👌🏼👌🏼👌🏼😊😊😊😊😊,N,,,,,,,,,,,,,,,,,N
هذا البهيمه اخر مقطع يكول كاظم مايعرف يغني ريفي هههه المقدمه هم قصرت شويه لو اتكله غني اغنيه ليلى هههههه ولك انت نص ربع قصيده ماتكدر اتغني,P,,,,,,,,,,,,,,,,,P
محمد عبدو ماعنده صوت خرااااااا,P,,,,,,,,,,,,,,,,,P
عبد الحليم حافظ لا يوجد فضائيات ام كلثوم كذلك كيف اصبحوا افضل المغنين في تاريخ الفن العربي,N,,,,,,,,,,,,,,,,,N
احلى شي انه ولا واحد فيهم مهم . مبينه الغيرة قاتلتهن.,N,,,,,,,,,,,,,,,,,N
كاظم مسامعتلة اي اغنية 😂😂😂😂,N,,,,,,,,,,,,,,,,,N
يلي بينتقد كاظم او ما بحبو او ما بحب صوتو هو ما بيفهم,N,,,,,,,,,,,,,,,,,N
اللي ميطول العنب حامض عنه يكول !!,N,,,,,,,,,,,,,,,,,N
#لن_تصبح_كاظم .   انتهى,N,,,,,,,,,,,,,,,,,N
الي صنع كاظم احساسه وموهبته ... مابقى غير نضال الاحمديه تتكلم عن القيصر,N,,,,,,,,,,,,,,,,,N
كلهم حابين يكونو هما لي ليهم الفضل على كاظم .مو يتفقو احسن هي لبنان او كويت او العراق او مصر او جورج وسوف .الي متفق عليه انو صوتو روعة و شخصيتو اروع,N,,,,,,,,,,,,,,,,,N
ياسبحان الله بدون تشابيه (العراق،،،،  كاظم) شفتو الحقد العربي المتنوع وبكل الوانهم وبكل اقاليمهم يتخاصمون في كل شئ ويتوحدون فقط لبغض العراق،،، لماذا ليس ذنبنا اننا خلقنا في بلد عالي وشعب متعالي فوقكم فأصبحتم كسجاده ندووووووس عليها ايها المستعربون المرضى،،، اما عن كاظم،، انها الغريزه انه الاحساس انه الابداع من ارض المدرسه والفن والخلود والامجاد يكرهونه ليس فقط لانه كاظم،،، لاكن بغض للعراق وللعراقيييييين بكل طوائفهم،،،، عاش العراق العظيم،، وللنجاح ياقييييييييييصر العرب،،،، وسر بدربك ياكبير،، فالاقزام تحت قدميك,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
الفديو الأخير للكوتية لي يسمعها داخل للبيت الأبيض هههههه مووتي,N,,,,,,,,,,,,,,,,,N
لو كان فاشل وما عنده حضور  ع شو دزون عليه هههههه,N,,,,,,,,,,,,,,,,,N
الكل صاروا اصحاب فضل ع كاظم هههههه.شنو صنعتوا صوته لو حضوره لو أغانيه  وبعدين لبنان مو صاحبة فضل ولا كاظم ناكر معروف هو إنسان محبوب والكل تتمنى تحضر له حفله ولو نص ساعه لذلك لبنان هي لتبعث عليه بمهرجاناته مو هو لي يتوسل ههههه,N,,,,,,,,,,,,,,,,,N
محد راح يوصله ولا احد راح يوصل مضغوطين,N,,,,,,,,,,,,,,,,,N
البرتقالة جميله ههههه,N,,,,,,,,,,,,,,,,,N
كاظم اني سويته نجم ههههههههههههههاااي,N,,,,,,,,,,,,,,,,,N
لا بالحقيقة ان كاظم الساهر فنان دوؤب  وعاشق لفنه الغنائي ومثابر جدا وهذا هو الذي صنع الفنان كاظم الساهر واما الامور الشخصية التي  اثيرت فهذه وجهات نظرولا اظن ان الكويتيين يحبون العراقيين  سواء اكان كاظم الساهر ام غيره ولا ينقص قدر كاظم الساهر اذا لم يدخل الكويت  ويبقى الزمن هو الذي يحدد من سيخلد في عالم الغناء ممن ذكروا في اليوتيوب وشكرا,N,,,,,,,,,,,,,,,,,N
"غوارين يغارون من شخص كل الناس تحبه
هذا دليل على نجاه القيصر
تاج راس كل فنان
ربي يخليه النا",N,,,,,,,,,,,,,,,,,N
ليش كل هاذه الغيره من كاظم ساهر ليش؟؟لان انسان ناجح ومثقف وعلى اخلاق ..هاذه انتم يالعرب ماتحبون انسان الناجح المسالم ظلون تحفرون جوه ...بسبب غيرتكم وحقدكم على الانسان الناحج,N,,,,,,,,,,,,,,,,,N
كاظم وبس ولكو واحد بس يجيب صوتو لكاظم هاد من غيرتكو كاظم وبس,N,,,,,,,,,,,,,,,,,N
حساد ................,P,,,,,,,,,,,,,,,,,P
لما كل هذه الغيره من كاظم الساهر,N,,,,,,,,,,,,,,,,,N
والله أنت قاهرهم يالقيصر..,N,,,,,,,,,,,,,,,,,N
الي صنع كاظم الساهر الموهبة التي أعطاها هي رب العالمين وحضوره   القوي  بالحفلات  الله اعطاه كاريزما لا محمد عبد ولا مطربين للكويت كلهم ولا حتى لبنان كلها يجبو  ربع مستوى القيصر  والغيره  را ح تموتهم  يا كاظم,N,,,,,,,,,,,,,,,,,N
لك هسة الحشاشين والبراميل والمخابيل امثال جورج ونبيل ونضال هم اللذين يقيمون كاظم ... واللة مهزلة,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
ماحدا يطلعوا يحكي عليه هوى وجورج وسوف نفس شي عمالقة,N,,,,,,,,,,,,,,,,,N
اريد افتهم كاظم صعد عن طريق الفضائيات لو عن طريق جورج وسوف لو مصر سوت كاظم لو لبنان لو الكويت شسالفه,N,,,,,,,,,,,,,,,,,N
كل هالحقد والغيرة ماليه كلبهم ومبينه بعيونهم على القيصر ...كاظم نجح غصبا عليكم  واغانية تدرس بالجامعات اﻻمريكية موتوا بقهركم  على كولة احﻻم مقهوريييين من القيصر,N,,,,,,,,,,,,,,,,,N
جورج سكران,N,,,,,,,,,,,,,,,,,N
مقهووووووورررررين من القيصرررررر,N,,,,,,,,,,,,,,,,,N
انت منو يسمعك ومنو يعرفك ياصباح اللامي انت منو حتى تتكلم عن كاظم طز فيك,P,,,,,,,,,,,,,,,,,P
حتى كاظم الساهر لايحبج ولايحب الكويت طز فيك فى الكويت طز فيك,P,,,,,,,,,,,,,,,,,P
انت وعشره مثلك يادب اتروح فدوه الكل عراقي والكاظم الساهر,P,,,,,,,,,,,,,,,,,P
ياهو الي طلع وكال انا صاحب فضل على كاظم الساهر شسالفه هيج غيرانين منه,N,,,,,,,,,,,,,,,,,N
"الكل صارو ملائكه وناجحين واحسن من كاظم 
وحتى الكويت صارت الهاا فضل على كاظم ههههه 
كل الي تكلموو ع كاظم سبب الغيره او الحقد اي عدم الثقه بالنفس لان كاظم رقم 1 دائمآ
مااكول شي غير بس الله يشافيكم من هذا المرض",N,,,,,,,,,,,,,,,,,N
هههههههههه مضغوطين,N,,,,,,,,,,,,,,,,,N
مااصور الاستاذ كاظم الساهر باقي ع الكويت كاظم متكلم يوم ع فنان هو محترم وعارف مقدار نفسه ..ياسبحان الله كل الدول طلعت عامله نجوميه كاظم هو نجم ممحتاج حد يصنعه ..وماقول غير الشجره المثمره يرميها الناس بالحجاره,N,,,,,,,,,,,,,,,,,N
الغيرة عمية عن جد شو هيدا الحقد وهو رح يموووت عشان يدخل الكويت ارجوكم اقبلوا شو هل ضغينة كاظم سيدكم كلكم انت ياقذر تقارن موالك الريفي التافه بصوات عملاق زي كاظم الساهر انت تجننت لا هدول بدهم يشتهرون على مين على حساب كاظم الساهر كل حدة يحكي عنو مريض نفسي,P,,,,,,,,,,,,,,,,,P
مين ماكان ما حد يطلعلوا مع القيصر,N,,,,,,,,,,,,,,,,,N
نبيل شعيل تذكر من طبولكم الصبح وي طكة البريج وخيركم ع السعودية لك فارغ,N,,,,,,,,,,,,,,,,,N
اني هم راح اصنع شي,N,,,,,,,,,,,,,,,,,N
مضغوطين والله تغارون من كاظم لان الافضل منكم ياحوش,P,,,,,,,,,,,,,,,,,P
الغيرة..  لاكثر ولااقل....  ولكن السبب من عند المذيع انتبهوا ...  كل الفيديوهات يذكرون كاظم لاثارة غضب الفنانين لان زادت نجوميته,N,,,,,,,,,,,,,,,,,N
ههههههه مضغوووطين من كاظم,N,,,,,,,,,,,,,,,,,N
طلعت لبنان مسويه كاظم، وطلعت الكويت مسويه كاظم شنو السالفه!!!!!!!!!!!!!!!!!!!,N,,,,,,,,,,,,,,,,,N
وينهم الفنانين 😕 الي يتكلم بسوء عن كاظم مو فنان,N,,,,,,,,,,,,,,,,,N
شكد مقهورين من كاظم الساهر !!! والله عيب عليهم,N,,,,,,,,,,,,,,,,,N
الله يرضى عنكم ع أساس انتو احسن 😈😈,N,,,,,,,,,,,,,,,,,N
صباح الامي لك انت منو حتى تجيب اسم عمالقة الطرب كاظم ورضا لك انت توصل لنص ربع مستواهم,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"ما بيسو شعره من شعرات كاظم والله 
فنان وفنه راقي وجميل ومسالم ومحبوب
ومعروف ومشهور اكثر من اي فنان اخر 
من غير اي جدال وهاد الشيئ معروف ❤
وبالنسبه لوين نجح يا شطورين يا حلوين 
مين ما عمله ومن اي بلد إنطلق المهم انو نجح وصار انجح منكم ومن جميع المقهوين منه...
ولو تسكتو يكون احسن",N,,,,,,,,,,,,,,,,,N
شكووو واحد يحجي على كاظم ايغار,N,,,,,,,,,,,,,,,,,N
فديته كظومي ضاغطكم وربي 😂,N,,,,,,,,,,,,,,,,,N
خاف متقبِّل وجهك وجه  ....اي البرتقاله حلوه بوجهك هذه البومه,P,,,,,,,,,,,,,,,,,P
"وانتووووو منوووووو حتى تحكمون على كاظم انتوووو اصلااااا لا شئ كاظم ميحتاج شهادتكم يكفي الجوائز الماخذه يكفي المهرجانات الكرمته حول العالم 
ونضال الاحمديه مامعروفه شهرت نفسها بخلافاتها مع الفنانين 
وهذا الفنان العراقي صحيح كاظم مو مستواك انت مستواك الراقصات اليرقصن باغانيك 
واما المذيعه الكويتيه و نبيل شعيل مع احترامي لشعب الكويت كاظم محد مفظل عليه بس رب العالمين 
بس هذه كلها بختصار نااااس فاشله يغارون من شخص ناجح",P,,,,,,,,,,,,,,,,,P
هذا اخر واحد منوه شسمه ماعرفه,N,,,,,,,,,,,,,,,,,N
طلعت كلها مسوي كاظم 😂😂😂 كلها تغار منها,N,,,,,,,,,,,,,,,,,N
هههههههه ياهو ليجي يكول اني سويت كاظم لان انسان ناجح ههههههههه ميحبون انسان احسن منهم,N,,,,,,,,,,,,,,,,,N
ابو وسام رفعه راس وكلها اتغار منه,N,,,,,,,,,,,,,,,,,N
كلهم يغارون من كاضم,N,,,,,,,,,,,,,,,,,N
كاظم هو اسطورة العرب وقيصر الغناء,N,,,,,,,,,,,,,,,,,N
احسن مغني على مر التاريخ هو كاظم الساهر احسن من ام كلثوم ومن جستن بيبر وكلهم شلع قلع,P,,,,,,,,,,,,,,,,,P
مي العيدان ذي يبيلها جوتي بحلجها و معطيه نفسها أكثر من حجمها,P,,,,,,,,,,,,,,,,,P
الحقد والحسد والشر .. كل هاي صفات موجودة بالبشر مو غريبة ... كاظم رجل مطرب يغني .. ماحد له  تحكم بإذن الناس .. الي يحب يسمع براحته والي ما يحب ...  يسمع غير شي .. بس انه ينتقد صوت كاظم أو اخلاقه .. أو يحط أسباب وهمية  ع نجاح كاظم هنا واضحة الغيرة والحسد .,N,,,,,,,,,,,,,,,,,N
واعليه  يا كاظم كأنهم الي عطوك الحياه الكل ينسب نجاحك له ويقول تنكرت لبنان مصر الكويت اش يسوي يقطع نفسه ترتاحون,N,,,,,,,,,,,,,,,,,N
ياسلام يعني أول فنان عجبته البرتقاله وما عجبه كاظم والله مادرى كوعه من بوعه,N,,,,,,,,,,,,,,,,,N
"هسه منو صنع كاظم الساهر 
بَـßÃŠـسّ كولو تريدون طشون برأس كاظم",N,,,,,,,,,,,,,,,,,N
اكل تبن محمد عبده ونبيل شعيل البرميل المن فلتت من البدايه ما بقيت اشو كالفهد بالركض من طفرت,P,,,,,,,,,,,,,,,,,P
هههههههه مكهوريين من كاظم مو من الملكة هذا حقد وغل وحسد ياساتر يارب اللهم عافنا وعافي من حولنا,N,,,,,,,,,,,,,,,,,N
وبلنسبه لملحم بركات مبين هذاك هو سكران,N,,,,,,,,,,,,,,,,,N
هو صباح الامي كاولي ويريد الناس كله كاوليه مثله يعني ميعحبه غناء كاظم الساهر,N,,,,,,,,,,,,,,,,,N
الكل يغار منك ياقيصر الغناء العربي ياانيق ياوسيم ياراقي يامثقف يامبدع بكل صفاتك انت رائع بكﻻمك بشخصك ﻻن انت عراقي وشارب من مي دجله وفرات راح يموتون ﻻن انت تصعد وهمه ينزلون خطيه,N,,,,,,,,,,,,,,,,,N
الفنان كاظم الساهر قدم اجمل الألحان لكثير من الفنانين العرب ممن وصلو للقمه كل هذا ولم يقل اني صاحب فضل لوصولهم ولم يتجاوز على فنان ابدا على الفضائيات مثلما فعلوا هؤلاء الصغار.,N,,,,,,,,,,,,,,,,,N
وانت ااني اشفق عليك ﻻن مريض انت ياابو خد مشمشه,N,,,,,,,,,,,,,,,,,N
اجمل ما في الموضوع ان الفنان كاظم الساهر لم يرد على كل هذه الأصوات النشاز .. وجميعهم ينظرون اليه نظرة غيره وحسد.,N,,,,,,,,,,,,,,,,,N
فدوه تروخ ع اطفال العراق بغل لبش تغارون منه ﻻن احلى واشهر منكم وانضف منكم وانسان مثقف,P,,,,,,,,,,,,,,,,,P
ليش هالحسد زميلكم والله وفقة ونجح وكسب قلوب الجماهير العربية موتوا بقيظكم,N,,,,,,,,,,,,,,,,,N
انت صباح ﻻمي تحجي على تاج راسك القيصر وانت سعدون جابر اشلون تحجي ع القيصر,N,,,,,,,,,,,,,,,,,N
كاظم الساهر هو من صنع نفسه بنفسه اشتهر بفضل صوته وإمكانياته وحسه الراقي الي ميزه عن باقي الفنانين .,N,,,,,,,,,,,,,,,,,N
هاي كلها مضغوطة من القيصر  كلهم ايغارون,N,,,,,,,,,,,,,,,,,N
"لك اكلوا تبن تروحله فدوه 
تاج راسكم هو مضغوطين😏😏",P,,,,,,,,,,,,,,,,,P
يا نبيل شعيل تريد كاظم يجي للعراق حتى تقتلونة من قبل دواعش ﻻن انتو دواعش الخليج انتو تغارون من نجوميته هو يحمل اسم العراق ومميز من يطلع خارج العراق يكفي يحمل اسم العراق ويتميز على كل فنانين العرب ﻻن هو شئ راقي,N,,,,,,,,,,,,,,,,,N
يغارون من نجومية كاظم الساهر اتحدى واحد يجيب شوية من اخﻻقه حاسبين نفسكم فنانين وانتو تغارون منه ما عدكم اخﻻق مثل اخﻻقة وهو فنان راقي اكيد ﻻن اشتهر بصوته وبغنائه والحانه محد يكدر يجيبه لذلك تشتمونة بس مع هيج راح يظل مميز على كل الفنانين,N,,,,,,,,,,,,,,,,,N
ابو وسام ضاغطهم والسبب الكل تسمع كاظم ومحد يسمع هل اشباه مطربين والدليل ولا برنامج غنائي يستقبلوهم  كاضيف شرف ههههههه علم القيصر تبقى,N,,,,,,,,,,,,,,,,,N
مظغوطين من القيصر لا وعسا س كاظم انشهر اول مره بالكويت هههههههههههههه #مظغوطين - من #ابناء العراق اشهر كاظم بالبنان و مصر بس مو بغير دوله,N,,,,,,,,,,,,,,,,,N
يغارررررون منه,N,,,,,,,,,,,,,,,,,N
لبنانيين يكولون احنى سوينة كاظم مصر نفس الحجي لكويت نفس الشي ميعرفون شيحجون من غيرتهم منة و من نجاحة,N,,,,,,,,,,,,,,,,,N
"ههههع صرعتو راسي البنانية تكول البنان صنع كاظم 
الكويتة تكول الكويت صنعتة هههه 
ليش كول هذا القهر من كاظم لان افضل منج يا كويتيه 
موتي مقهوررر كاظم افضل منج",N,,,,,,,,,,,,,,,,,N
ترحون فدوه الى كاظم,P,,,,,,,,,,,,,,,,,P
المقطع الاخير ايخبل لابس الحديقه وجاي 😂😂😂😂😂😂 ويكول افتر ع التسجيلات وره كول كاسيت ينزله طبعن حبيبي حتى انت تشتري لان ماكو احد يعرفك اصلا 😂😂😂😂😂😂,N,,,,,,,,,,,,,,,,,N
شسالفه كولها طلعت صانعه كاظم ترى كوله توفيق من رب العالمين وكولهم مقهووووورين من كاظم محد يوصل للقيصر لذلك يتكلموا هيج والي ميلوح العنب حامض عنه يكول انتو شايفين شخصيته ببرنامج ذا فويس فوديته فد شخصيه وهو من اخلاقه ثكيل فد اموووواح عليه واعيدها مرة ثانية مقهووووورين من القيصر😋,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
يغارون خطيه,N,,,,,,,,,,,,,,,,,N
وصدام هم غلط دضرب الكويت نووي همه والكراد,N,,,,,,,,,,,,,,,,,N
ولكم اغنيه ليلي أكبر من الكويت. ..تفووووو,P,,,,,,,,,,,,,,,,,P
"كاظم وبس فديتووووو
مقهورين من القيصر😻😻😻",N,,,,,,,,,,,,,,,,,N
"كاظم افضل فنان عربي 
والوحيد العربي هوة واحمد راضي 
مسجلين على اللائحة الجدارية لأفضل الفنانين بالتاريخ الموجودة بأمريكا",N,,,,,,,,,,,,,,,,,N
لبنان عملت كاظم والكويت عملت كاظم و ...و....و.....ماجد اللوكي باع وطنه تحبو حيوانات...نزار اللي عمل كاظم وكاظم عمل نفسه بيموت القيصر ضاغطهم,N,,,,,,,,,,,,,,,,,N
مضغوطين من القيصر,N,,,,,,,,,,,,,,,,,N
قمة الاخلاق والاحترام لكل فنانين هوه كاظم بس اكثر الفنانين يكرهو لان مايجيب طاري احد ويمدح احد ياايها الناس عليكم بانفسكم,N,,,,,,,,,,,,,,,,,N
دائما الشجرة المثمرة ترمى باحجارة فعادي هاي غيرة وحسد وهمة نجوميتهم طفت وراحة فحاقدين على كاظم لأن ناجح ومن تقدم الى تقدم مضغوطين خطية كاظم تااااااج على رأسهم كلهم على عناد اليقبل والمايقبل وهاي حقيقة مو كلام وبس,P,,,,,,,,,,,,,,,,,P
اهاااااااا هسة طلع كاضم صوتة محلو وطلع بالواسطة خرربببب شنو هاي الغيرة من عندة وبالاخص الغثاني هاي الفاشلة المذيعة واللي بالاخير اصلآ حتى ما اعرفة لا ونوب يحجي ع رضا العبدالله زين انت شعليك برضا لو لهاي الدرجة كرهكم الة هوة اهم شي رفع راس العراق مو مثلكم ..... فاشليننننن,P,,,,,,,,,,,,,,,,,P
كاظم قيصر الاغنيه العربيه بكل فخر  لا لبنان ولا الكويت ولا اي شخص صنع كاظم هو إنسان مثابر ووذكي وموهوب  وصنع نفسه بنفسه وكل بالفيديو يغارون منه,N,,,,,,,,,,,,,,,,,N
عااد هل كوييتيينن كلمة وثانية قالولك صدام كلمة وثانية الغزو بس عاد لعنبوكم,N,,,,,,,,,,,,,,,,,N
حطمتوا على إبليس  أعوذ باالله,N,,,,,,,,,,,,,,,,,N
اعطوني واحد من هذول دورست ألحانه في معاهد وجامعات بريطانيا و أعطوني واحد منهم ترجمت اغنيته إلى  18 لغة يا أخي هذا كاااااااظم الساهر العملاق ....,N,,,,,,,,,,,,,,,,,N
"😳 الحسد الله يشافيهم منه 
كاظم ارقى إنسان و اطيب قلب الله يحميه من حساد",N,,,,,,,,,,,,,,,,,N
منو هذوله ويتكلمون عن كاظم الساهر قيصر العرب و قيصر الغناء العربي سفير الاغنيه العراقيه ؟,N,,,,,,,,,,,,,,,,,N
كاظم تاج على رأس العرب,N,,,,,,,,,,,,,,,,,N
كلهم يغارون من كاظم واكثر واحد محمد عبدوه . نبيل شعيل شايف نفسه وععع كلامه مقرف هو ونضال والكويتيه .😷😷,N,,,,,,,,,,,,,,,,,N
ابو وسام ورده,N,,,,,,,,,,,,,,,,,N
ههههههه مافي حدا حكى عنو احسن منو,N,,,,,,,,,,,,,,,,,N
طز بيج وبالكويت مريضه نفسيه وربي,P,,,,,,,,,,,,,,,,,P
تاج رأسكم كاظم كلكم غيره,N,,,,,,,,,,,,,,,,,N
ههههههههههههه كذاب والله,P,,,,,,,,,,,,,,,,,P
مضقوووووطين من القيصر كاضم الساهر هههههههههه,N,,,,,,,,,,,,,,,,,N
مرضى نفسيين غفرانك ربي كل هالحقد لانه ناجح,P,,,,,,,,,,,,,,,,,P
مضغوووطين الجماعه..الشجره المثمره ترمى بلحجاره..,N,,,,,,,,,,,,,,,,,N
محد صنع كاظم الساهر هو صنع نفسه,N,,,,,,,,,,,,,,,,,N
ههههههههههههه اخر واحد مين بالله ؟ هذا اصلا كل فنانين العراق نقدهم !,N,,,,,,,,,,,,,,,,,N
لا بفضل الكويت و لابفضل لبنان هذا بفضل الله ثم كاظم وذوقه ويا كرهي لنضال و مي العيدان بس قال الصدق كاظم الرويشد مسموع والله قليل نشوف اللي يسمع له واغانيه مثل ما قال مسموعه يرحم امكم مو عشان ولد ديرتكم ترفعون فيه,N,,,,,,,,,,,,,,,,,N
كلهم مضغوطين من#القيصر,N,,,,,,,,,,,,,,,,,N
هاي شنو كلهه تكول اني صنعت كاظم ولكم دكلو تبن ههههه,P,,,,,,,,,,,,,,,,,P
اغلب اللي انتقدو كاظم انتقدوه بعد موقفه من بشار وشعبه وموقفه من الازمه العراقيه وقال ان الوضع والامن وقت صدام افضل وهذا اللي خلى الكويتين وغيرهم يحاربونه اكثر والله يصلح الحال لان اختلاف الرأي لايفسد للود قضيه,N,,,,,,,,,,,,,,,,,N
كاظم انسان محترم ومحايد وجريئ في مواقفه من الازمات السياسيه والفتن العرقيه هذا غير انه متواضع وفنان يعرف كيف يختار الحانه وكلماته واغلب منتقديه ياغيره منه اوحسد الله يكفيه ويكفينا شرهم,N,,,,,,,,,,,,,,,,,N
ساعه يكولون لبنان طلعته وساعه جورج وسوف وساعه كويت شسالفه,N,,,,,,,,,,,,,,,,,N
كاضم صنعه أخلاقه صنعه صوته وصنعه بلده مو كلام الحشرات,P,,,,,,,,,,,,,,,,,P
هههههههههه مضغوطين من القيصر🌼,N,,,,,,,,,,,,,,,,,N
هههه كلهم مضغوطين منه,N,,,,,,,,,,,,,,,,,N
